what,kind,bundleId,bundleVersion,description,time
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1379454536088
java.vm.specification.version,sysinfo,,,"1.0",1379454536088
java.vm.vendor,sysinfo,,,"Apple Inc.",1379454536088
java.vm.version,sysinfo,,,"20.51-b01-457",1379454536088
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1379454536154
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1379454536529
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1379454536634
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1379454536803
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1379454536865
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1379454536911
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1379454537459
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1379454537527
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1379454538074
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1379454538225
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1379454538241
started,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.ui",1379454555408
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.gnu.ui",1379454557303
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1379454558095
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1379454591544
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1379454591949
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1379454594655
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1379454596415
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1379454596501
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1379454596796
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1379454597783
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1379454597875
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1379454597911
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1379454599945
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1379454600880
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1379454606405
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1379454615444
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1379454622892
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1379454633850
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1379454638811
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201102110609,"org.eclipse.cdt.debug.core",1379454639022
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.ui",1379454639051
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1379454641292
started,bundle,org.eclipse.cdt.launch,6.1.0.201102110609,"org.eclipse.cdt.launch",1379454649559
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1379454753427
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1379454753580
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1379454755410
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1379454775828
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1379454784211
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1379454784780
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1379454797600
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1379454819180
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1379454819339
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1379454819450
opened,editor,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.editor",1379454830217
activated,editor,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.editor",1379454830335
error,log,,,"A program file was not specified in the launch configuration.",1379454852639
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1379454853020
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1379454869919
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1379454885061
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1379454937109
error,log,,,"Error starting process.",1379454937684
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1379454938012
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1379454971191
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1379454975421
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1379454994042
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1379455037972
activated,editor,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.editor",1379455047646
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1379455049332
error,log,,,"Error starting process.",1379455062301
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1379455062421
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1379455068305
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1379455096175
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1379455123121
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1379455129298
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1379455131360
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.4.v20110204-0100-e3x,"org.eclipse.cdt.mylyn.ui",1379455132026
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1379455132295
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1379455133435
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201102110609,"org.eclipse.cdt.debug.mi.core",1379455133480
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.1.201102110609,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1379455133502
